Name,Info,Address,Category,Latitude,Longitude
Amrututalya,,"Kumthekar Rd , Perugate Police Station ,Sadashiv Peth,Pune.",Tea,18.511944,73.848579
Anarase Samosewale,,"Tilak Rd, Dyanprabhodani Chowk, Sadashiv Peth,Pune.",Samosa,18.512308,73.846738
Appachi Khichadi,,"Deccan Gymkhana Rd,Near Cricket Ground",Sabudana Khichadi,18.51593,73.840125
BABA Cold coffee,,Nr Bharati vidyapith,Cold Coffee,,
Bansi panipuri,,"Dhanakawadi, Nr Bharati vidyapith",PaniPuri,,
Burger King ,,"Camp School,Pulgate,Camp",Burger,,
Cafe Choco Craze,,Cummins College Road,Cold Coffee,18.48857223,73.81513589
Café Durga B V P,,"Bharati Vihar Society ,Back Gate Of B.V.P,Katraj",Coffee,18.456448,73.850355
Café Durga JM Road,,"Modern Colony Signal,J M Road ,Next to Mamata Sweets",Coffee,18.524991,73.849762
Café Durga Karve Nagar,,Amrapali Shop Shahu Colony Karve Nagar,Coffee,18.495238,73.809435
Café Durga MIT,,"Dhavalgiri ,Opp. MIT College Front Gate,Kothrud ",Coffee,18.516431,73.815722
Café Durga Narhe,,Back Gate of Sinhgad Medical College ,Coffee,"18.456855,",73.821881
Café Durga Sinhgad Road,,"Mohite Twin Towar ,Anand Nagar,Sinhgad Road",Coffee,18.476429,73.823909
Café Durga SP College,,"Shop No - 9 ,Business Square,Tilak Road",Coffee,18.508152,73.850401
Café Goodluck,,"Fergusson College Rd, Deccan Gymkhana",Bun Maska,18.51739976,73.84145809
Café Paradise,,"Kachare Colony,Opp Bank of Badoda , Deccan Gymkhana ,Garware Collegge",Bun Maska,18.51261732,73.84002592
Casa lolo,,"Dr Ketkar Rd, Deccan Gymkhana ,Opp to kamala nahru park",Fast Food,18.51691633,73.83404028
Casa lolo,," Simran Seashell, Off Salunkhe Vihar Road NIBM Road",Fast Food,,
Chaitanya,,FC road,Paratha,,
Chaitanya Fast Road,,Commins Road,Paratha,18.48675595,73.81551404
Comesome,,"Platform No 1, Pune Railway Station Campus, Sasoon Road, 
Pune Station, Pune - 411001",Misc,,
Cummins College,,"Hingne Budrukh, Karve Nagar",Snacks,"18.486363,",73.815663
Dahi wada ,,Adinath Society Satara road,Wada Pav,,
Dakshin Davangiri ,,"J M Rd Opp Jangali Maharaj Samadhi ,Shivaji Nagar",Dosa South Indian,18.5263285,73.85064732
Dhumal Raswanti,,"Samarth Road ,Alnkar Piolice Station,karve Nagar",Sugarcane Juice,18.498061,73.82608
Fantacy Juice world,,Camp ,Juice,,
Flavours,,FC Road ,Sandwitch,,
Ganesh Bhel & Chaat,,"Kothrud,Near Monginis",Bhel,18.49423223,73.82552952
Ganesh Bhel & Chaat,,"Shop No. 15A Madhuban Society, B Building Karvenagar",Bhel,18.494354,73.825534
Ganesh Bhel & Chaat,,Narveer Tanaji Malasure Road,Bhel,18.496578,73.822172
Ganesh Pan,,"Fergusson College Rd, Model Colony, Shivaji Nagar",Pan Shop,18.52654986,73.84185773
